mat_dim,block_size,impl_type,time_1,time_2,time_3
100,N/A,0,0.000883,0.001017,0.003075
200,N/A,0,0.006854,0.00522,0.004111
300,N/A,0,0.011126,0.011995,0.02024
400,N/A,0,0.036019,0.038886,0.034708
500,N/A,0,0.063396,0.064583,0.057958
600,N/A,0,0.1107,0.104164,0.133984
700,N/A,0,0.197074,0.197051,0.194672
800,N/A,0,0.511022,0.509455,0.526184
900,N/A,0,0.870959,1.08327,1.77892
1000,N/A,0,1.77147,1.9995,2.07921
1100,N/A,0,2.86223,2.65703,2.53462
1200,N/A,0,3.22076,3.35788,3.26037
1300,N/A,0,4.35594,4.25305,4.26921
1400,N/A,0,5.27642,5.40579,5.37822
1500,N/A,0,7.03871,6.95642,7.02719
1600,N/A,0,8.76379,8.90134,9.06553
1700,N/A,0,12.947,11.114,10.8617
1800,N/A,0,13.0125,15.9842,16.2852
1900,N/A,0,15.7687,15.989,16.1615
2000,N/A,0,23.0108,18.1166,18.0699
100,32,1,0.001766,0.001382,0.00119
100,64,1,0.000976,0.000973,0.001069
100,128,1,0.00067,0.000432,0.000657
100,256,1,0.000675,0.000555,0.000665
100,512,1,0.003392,0.002634,0.002037
200,32,1,0.007768,0.006236,0.007305
200,64,1,0.003806,0.00437,0.005904
200,128,1,0.003848,0.003054,0.004582
200,256,1,0.00554,0.002622,0.005936
200,512,1,0.009204,0.007108,0.00959
300,32,1,0.032125,0.020353,0.020626
300,64,1,0.01481,0.017273,0.014594
300,128,1,0.013416,0.01308,0.013868
300,256,1,0.011336,0.013622,0.014899
300,512,1,0.011547,0.010876,0.015632
400,32,1,0.034784,0.035485,0.034721
400,64,1,0.027565,0.029443,0.029333
400,128,1,0.029961,0.032072,0.03818
400,256,1,0.02945,0.031106,0.026547
400,512,1,0.024552,0.026265,0.022848
500,32,1,0.06407,0.081205,0.065924
500,64,1,0.053528,0.046715,0.049587
500,128,1,0.047658,0.045541,0.046125
500,256,1,0.049209,0.048995,0.046038
500,512,1,0.041945,0.044468,0.04467
600,32,1,0.114953,0.100736,0.105179
600,64,1,0.075983,0.076031,0.082032
600,128,1,0.096419,0.106142,0.117357
600,256,1,0.113506,0.095403,0.074264
600,512,1,0.073872,0.07311,0.072091
700,32,1,0.161599,0.155414,0.157041
700,64,1,0.116533,0.130821,0.116124
700,128,1,0.116486,0.115075,0.121811
700,256,1,0.11653,0.113228,0.136661
700,512,1,0.124947,0.115217,0.110232
800,32,1,0.228542,0.225573,0.227176
800,64,1,0.178383,0.193287,0.178816
800,128,1,0.169102,0.170426,0.177923
800,256,1,0.164385,0.181523,0.184629
800,512,1,0.158353,0.169623,0.181452
900,32,1,0.404752,0.319642,0.324418
900,64,1,0.248203,0.249523,0.240102
900,128,1,0.244343,0.24671,0.264467
900,256,1,0.245517,0.249074,0.255803
900,512,1,0.234715,0.227311,0.236215
1000,32,1,0.437024,0.455,0.428345
1000,64,1,0.449559,0.363783,0.334485
1000,128,1,0.391265,0.336126,0.331217
1000,256,1,0.316841,0.347038,0.348836
1000,512,1,0.307067,0.336436,0.319799
1100,32,1,0.571522,0.566325,0.652351
1100,64,1,0.454681,0.437387,0.438625
1100,128,1,0.449479,0.472766,0.449022
1100,256,1,0.4571,0.457561,0.423519
1100,512,1,0.434301,0.413523,0.49405
1200,32,1,0.757186,0.761333,0.727445
1200,64,1,0.565879,0.580138,0.561899
1200,128,1,0.584748,0.556161,0.706381
1200,256,1,0.593769,0.57641,0.55209
1200,512,1,0.533009,0.55132,0.554309
1300,32,1,0.948651,1.01767,0.934021
1300,64,1,0.723657,0.713439,0.715407
1300,128,1,0.717692,0.721492,0.832557
1300,256,1,0.762407,0.734427,0.721745
1300,512,1,0.700608,0.759866,0.693408
1400,32,1,1.25347,1.14475,1.12322
1400,64,1,0.887239,0.88984,0.911875
1400,128,1,1.02139,0.93112,1.00755
1400,256,1,0.875454,0.911465,0.930892
1400,512,1,0.93042,0.870121,0.884591
1500,32,1,1.40521,1.47526,1.42399
1500,64,1,1.11704,1.12645,1.10427
1500,128,1,1.23057,1.10773,1.22048
1500,256,1,1.16362,1.11151,1.17378
1500,512,1,1.11047,1.07656,1.10132
1600,32,1,1.78641,1.68703,1.67546
1600,64,1,1.34407,1.42994,1.4015
1600,128,1,1.31553,1.37372,1.47472
1600,256,1,1.32493,1.36867,1.30136
1600,512,1,1.44225,1.30904,1.28355
1700,32,1,2.12536,2.02629,2.43611
1700,64,1,1.74579,1.60697,1.68731
1700,128,1,1.82557,1.63011,1.6838
1700,256,1,1.72149,1.61656,1.63321
1700,512,1,1.69694,1.62108,1.74815
1800,32,1,2.52266,3.55308,2.85286
1800,64,1,2.03632,2.0493,1.98019
1800,128,1,1.89709,2.26054,3.99234
1800,256,1,2.55141,1.91696,1.99348
1800,512,1,1.87649,1.85492,1.95448
1900,32,1,2.83544,2.9063,2.77437
1900,64,1,2.37597,2.22166,2.30843
1900,128,1,2.35798,2.30142,2.42549
1900,256,1,2.24092,2.36267,2.333
1900,512,1,2.39637,3.44591,3.23759
2000,32,1,4.4116,3.24091,3.52911
2000,64,1,2.67254,2.60424,3.0363
2000,128,1,2.7831,2.80986,2.71617
2000,256,1,2.67736,2.58159,2.76152
2000,512,1,2.52293,2.48088,2.7405
